vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade
25CL03,25CL,03,Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo,Westeres,,7,7981BC,DIEVER,Drenthe,WESTERVELD,1701,052-1592266,,False,,41636,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Zwolle-Meppel en omstreken,Noord,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,1482.0,Medium,247.0
25PW52,25PW,52,Drenthe College Terra,Burg. J.G. Legroweg,,29,9761TA,EELDE,Drenthe,TYNAARLO,1730,050-3091625,,False,,40872,Overige,Noord-Drenthe,Noord- en Midden Drenthe,Groningen en omstreken,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,
00PF00,00PF,00,Carmelcollege Emmen,Wendeling,,59,7824TB,EMMEN,Drenthe,EMMEN,114,059-1622870,www.carmelcollege.nl,True,,35647,Bijzonder,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,11334.0,Very Large,1889.0
25PW53,25PW,53,Drenthe College Terra,Huizingsbrinkweg,,9,7812BK,EMMEN,Drenthe,EMMEN,114,059-1617344,,False,,40872,Overige,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,
16VP00,16VP,00,Hondsrug College Christelijke SGM voor LYC HAVO MAVO VBO LWOO,Emmalaan,,25,7822JB,EMMEN,Drenthe,EMMEN,114,059-1657979,www.hondsrugcollege.nl/,True,,41509,Bijzonder,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,12141.0,Very Large,2023.5
20LA00,20LA,00,Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College,Oosterstraat,,78,7822HG,EMMEN,Drenthe,EMMEN,114,088-0009610,www.esdalcollege.nl,True,,41889,Openbaar,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,6770.0,Very Large,1128.3333333333333
20LA03,20LA,03,Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College,Angelsloerdijk,,13-C,7822HK,EMMEN,Drenthe,EMMEN,114,088-0009600,,False,,41889,Openbaar,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,3607.0,Very Large,601.1666666666666
20LA05,20LA,05,Openbare Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Esdal College,Oosterstraat,,82,7822HG,EMMEN,Drenthe,EMMEN,114,088-0009630,https://www.esdalcollege.nl/vakcollege-emmen/,True,,41889,Openbaar,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,2534.0,Large,422.3333333333333
26HX00,26HX,00,Praktijkschool Emmen,Ullevi,,22,7825SE,EMMEN,Drenthe,EMMEN,114,059-1613310,www.pro-emmen.nl,True,,41529,Bijzonder,Zuidoost-Drenthe,Zuid-Oost Drenthe,Assen-Hoogeveen-Emmen,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,3404.0,Very Large,567.3333333333334
20LO03,20LO,03,Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo,Stokleggingslaan,,17,9461CC,GIETEN,Drenthe,AA EN HUNZE,1680,059-2261983,,False,,13273,Openbaar,Noord-Drenthe,Noord- en Midden Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,2314.0,Large,385.6666666666667
19IW00,19IW,00,Regionale Scholengemeenschap Wolfsbos,Valkenlaan,,1,7905AA,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8266192,www.wolfsbos.nl,True,,13737,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,7058.0,Very Large,1176.3333333333333
19IW02,19IW,02,Regionale Scholengemeenschap Wolfsbos,Valkenlaan,,3,7905AA,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8266192,0528266192,True,,13737,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,BRUGJAAR,BRUGJAAR,Dutch,False,False,False,False,False,True,354.0,Small,59.0
19IW04,19IW,04,Regionale Scholengemeenschap Wolfsbos,Wolfsbosstraat,,3,7905BZ,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8266192,www.wolfsbos.nl,True,,13737,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO,VMBO,Dutch,False,True,False,False,False,False,2389.0,Large,398.1666666666667
19IW05,19IW,05,Regionale Scholengemeenschap Wolfsbos,Wolfsbosstraat,,7,7905BZ,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8266192,www.wolfsbos.nl,True,,13737,Openbaar,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,1061.0,Medium,176.83333333333334
02VA00,02VA,00,Roelof van Echten College,Sportveldenweg,,20,7902NX,HOOGEVEEN,Drenthe,HOOGEVEEN,118,052-8358658,www.rvec.nl,True,,41271,Bijzonder,Zuidwest-Drenthe,Zuid-West Drenthe,Assen-Hoogeveen-Emmen,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,7353.0,Very Large,1225.5
